,price,room_bed,room_bath,lot_measure,ceil,coast,condition,quality,ceil_measure,basement,yr_built,zipcode,lat,long,furnished,yr_sold,age_sold,Have_basement,renovation_in_15to20_Years,renovation_in_10to15_Years,renovation_in_5to10_Years,renovation_in_0to5_Years
0,808100,4,3.25,13457,1.0,0,5,9,3020,0,1956,98133,47.7174,-122.336,1,2014,58,0,0,0,0,0
1,277500,4,2.5,7500,1.0,0,3,8,1750,800,1976,98023,47.3165,-122.38600000000001,0,2014,38,1,0,0,0,0
2,404000,3,2.5,4324,2.0,0,3,8,2370,0,2006,98038,47.3515,-121.999,0,2015,9,0,0,0,0,0
3,300000,2,1.0,3844,1.0,0,4,6,820,0,1916,98133,47.7049,-122.34899999999999,0,2014,98,0,0,0,0,0
4,699000,2,1.5,4050,1.0,0,4,8,1400,0,1954,98115,47.6768,-122.26899999999999,0,2015,61,0,0,0,0,0
5,585000,3,2.5,11690,2.0,0,4,9,2050,0,1989,98059,47.5279,-122.161,1,2014,25,0,0,0,0,0
6,465000,3,1.75,6360,1.0,0,3,7,1480,0,1954,98133,47.7311,-122.353,0,2014,60,0,0,0,0,0
7,480000,3,1.5,67269,1.0,0,4,7,1220,880,1949,98028,47.7592,-122.23,0,2014,65,1,0,0,0,0
8,780000,4,2.0,4800,1.0,0,3,8,1400,1200,1953,98119,47.637,-122.37100000000001,0,2014,61,1,0,0,0,0
9,215000,4,1.0,7400,1.0,0,4,7,1130,0,1969,98003,47.3437,-122.316,0,2014,45,0,0,0,0,0
10,402000,2,1.0,5100,1.0,0,5,7,710,0,1905,98117,47.6765,-122.381,0,2014,109,0,0,0,0,0
11,299000,4,2.5,6958,2.0,0,3,9,2350,0,1998,98092,47.3321,-122.17200000000001,1,2014,16,0,0,0,0,0
12,785000,4,2.5,56192,2.0,0,3,9,3440,0,1994,98053,47.6969,-122.046,1,2015,21,0,0,0,0,0
13,865000,4,2.0,5527,2.0,0,3,8,2130,620,1901,98119,47.6513,-122.368,0,2015,114,1,0,0,0,0
14,554000,5,2.5,12900,1.0,0,4,8,1720,1720,1958,98166,47.4426,-122.34200000000001,0,2014,56,1,0,0,0,0
15,361000,3,1.5,7236,1.0,0,3,7,1200,0,1975,98011,47.739,-122.194,0,2015,40,0,0,0,0,0
16,459000,4,2.75,6600,2.0,0,3,9,2790,0,2000,98058,47.4362,-122.109,1,2014,14,0,0,0,0,0
17,200000,3,1.0,5600,1.0,0,4,6,940,540,1947,98178,47.5045,-122.27,0,2014,67,1,0,0,0,0
18,403000,2,1.0,3598,1.0,0,4,7,1100,0,1926,98144,47.5738,-122.31299999999999,0,2014,88,0,0,0,0,0
19,327500,3,2.25,7200,2.0,0,3,8,2310,0,1990,98031,47.4051,-122.193,0,2014,24,0,0,0,0,0
20,700000,5,2.75,9825,2.0,0,4,8,3100,0,1950,98125,47.7188,-122.281,0,2014,64,0,0,0,0,0
21,730000,3,2.5,8809,1.0,0,3,9,1540,620,2014,98103,47.6994,-122.34899999999999,1,2014,0,1,0,0,0,0
22,207000,2,1.5,1158,2.0,0,3,7,1068,0,1990,98028,47.753,-122.244,0,2014,24,0,0,0,0,0
23,750000,3,1.0,8549,1.0,0,3,7,1120,0,1952,98004,47.6294,-122.205,0,2015,63,0,0,0,0,0
